datetime,date,hour,day_of_week,is_summer,is_weekend,consumption_mw,voltage,outage
2026-02-26 21:26:49.464947,2026-02-26,21,3,0,0,473.75,219.3,0
2026-02-26 22:26:49.464947,2026-02-26,22,3,0,0,458.74,213.9,1
2026-02-26 23:26:49.464947,2026-02-26,23,3,0,0,445.79,216.6,0
2026-02-27 00:26:49.464947,2026-02-27,0,4,0,1,157.75,220.8,0
2026-02-27 01:26:49.464947,2026-02-27,1,4,0,1,196.7,212.8,0
2026-02-27 02:26:49.464947,2026-02-27,2,4,0,1,215.8,230.1,0
2026-02-27 03:26:49.464947,2026-02-27,3,4,0,1,166.25,218.6,0
2026-02-27 04:26:49.464947,2026-02-27,4,4,0,1,200.57,235.3,0
2026-02-27 05:26:49.464947,2026-02-27,5,4,0,1,424.11,210.1,0
2026-02-27 06:26:49.464947,2026-02-27,6,4,0,1,361.04,227.0,0
2026-02-27 07:26:49.464947,2026-02-27,7,4,0,1,484.81,211.8,0
2026-02-27 08:26:49.464947,2026-02-27,8,4,0,1,469.21,218.0,0
2026-02-27 09:26:49.464947,2026-02-27,9,4,0,1,483.3,224.9,0
2026-02-27 10:26:49.464947,2026-02-27,10,4,0,1,389.72,215.9,0
2026-02-27 11:26:49.464947,2026-02-27,11,4,0,1,409.55,224.2,0
2026-02-27 12:26:49.464947,2026-02-27,12,4,0,1,381.18,209.8,0
2026-02-27 13:26:49.464947,2026-02-27,13,4,0,1,367.05,222.9,1
2026-02-27 14:26:49.464947,2026-02-27,14,4,0,1,579.52,220.3,0
2026-02-27 15:26:49.464947,2026-02-27,15,4,0,1,491.64,241.4,0
2026-02-27 16:26:49.464947,2026-02-27,16,4,0,1,548.28,221.1,0
2026-02-27 17:26:49.464947,2026-02-27,17,4,0,1,527.15,224.9,0
2026-02-27 18:26:49.464947,2026-02-27,18,4,0,1,565.5,218.2,1
2026-02-27 19:26:49.464947,2026-02-27,19,4,0,1,391.68,232.2,0
2026-02-27 20:26:49.464947,2026-02-27,20,4,0,1,393.62,220.0,0
2026-02-27 21:26:49.464947,2026-02-27,21,4,0,1,393.1,223.5,0
2026-02-27 22:26:49.464947,2026-02-27,22,4,0,1,404.46,211.9,0
2026-02-27 23:26:49.464947,2026-02-27,23,4,0,1,408.27,229.3,0
2026-02-28 00:26:49.464947,2026-02-28,0,5,0,1,215.43,215.2,0
2026-02-28 01:26:49.464947,2026-02-28,1,5,0,1,219.81,225.4,0
2026-02-28 02:26:49.464947,2026-02-28,2,5,0,1,223.47,222.9,1
2026-02-28 03:26:49.464947,2026-02-28,3,5,0,1,207.58,206.6,0
2026-02-28 04:26:49.464947,2026-02-28,4,5,0,1,160.75,229.2,0
2026-02-28 05:26:49.464947,2026-02-28,5,5,0,1,396.6,221.9,0
2026-02-28 06:26:49.464947,2026-02-28,6,5,0,1,404.81,224.1,0
2026-02-28 07:26:49.464947,2026-02-28,7,5,0,1,496.86,240.1,0
2026-02-28 08:26:49.464947,2026-02-28,8,5,0,1,484.93,215.0,0
2026-02-28 09:26:49.464947,2026-02-28,9,5,0,1,537.09,237.6,0
2026-02-28 10:26:49.464947,2026-02-28,10,5,0,1,363.62,215.1,0
2026-02-28 11:26:49.464947,2026-02-28,11,5,0,1,381.31,224.1,0
2026-02-28 12:26:49.464947,2026-02-28,12,5,0,1,353.38,221.7,0
2026-02-28 13:26:49.464947,2026-02-28,13,5,0,1,384.29,201.2,1
2026-02-28 14:26:49.464947,2026-02-28,14,5,0,1,525.11,218.6,0
2026-02-28 15:26:49.464947,2026-02-28,15,5,0,1,532.71,213.8,0
2026-02-28 16:26:49.464947,2026-02-28,16,5,0,1,551.06,199.4,0
2026-02-28 17:26:49.464947,2026-02-28,17,5,0,1,556.35,216.7,0
2026-02-28 18:26:49.464947,2026-02-28,18,5,0,1,523.39,211.6,0
2026-02-28 19:26:49.464947,2026-02-28,19,5,0,1,401.46,215.2,0
2026-02-28 20:26:49.464947,2026-02-28,20,5,0,1,372.93,213.1,0
2026-02-28 21:26:49.464947,2026-02-28,21,5,0,1,422.04,220.1,0
2026-02-28 22:26:49.464947,2026-02-28,22,5,0,1,387.51,213.7,0
2026-02-28 23:26:49.464947,2026-02-28,23,5,0,1,369.17,209.8,0
2026-03-01 00:26:49.464947,2026-03-01,0,6,0,1,168.22,219.6,0
2026-03-01 01:26:49.464947,2026-03-01,1,6,0,1,202.74,220.4,0
2026-03-01 02:26:49.464947,2026-03-01,2,6,0,1,182.65,218.8,0
2026-03-01 03:26:49.464947,2026-03-01,3,6,0,1,196.74,201.6,0
2026-03-01 04:26:49.464947,2026-03-01,4,6,0,1,220.41,227.1,0
2026-03-01 05:26:49.464947,2026-03-01,5,6,0,1,373.26,229.1,0
2026-03-01 06:26:49.464947,2026-03-01,6,6,0,1,360.89,207.4,0
2026-03-01 07:26:49.464947,2026-03-01,7,6,0,1,461.85,217.9,0
2026-03-01 08:26:49.464947,2026-03-01,8,6,0,1,515.72,224.3,0
2026-03-01 09:26:49.464947,2026-03-01,9,6,0,1,477.48,226.1,0
2026-03-01 10:26:49.464947,2026-03-01,10,6,0,1,359.31,223.1,0
2026-03-01 11:26:49.464947,2026-03-01,11,6,0,1,387.91,229.2,0
2026-03-01 12:26:49.464947,2026-03-01,12,6,0,1,397.82,212.4,0
2026-03-01 13:26:49.464947,2026-03-01,13,6,0,1,364.27,216.9,0
2026-03-01 14:26:49.464947,2026-03-01,14,6,0,1,500.03,221.1,0
2026-03-01 15:26:49.464947,2026-03-01,15,6,0,1,568.46,234.5,0
2026-03-01 16:26:49.464947,2026-03-01,16,6,0,1,534.2,223.5,0
2026-03-01 17:26:49.464947,2026-03-01,17,6,0,1,559.81,219.9,0
2026-03-01 18:26:49.464947,2026-03-01,18,6,0,1,531.01,215.5,0
2026-03-01 19:26:49.464947,2026-03-01,19,6,0,1,386.67,229.9,0
2026-03-01 20:26:49.464947,2026-03-01,20,6,0,1,383.66,210.5,0
2026-03-01 21:26:49.464947,2026-03-01,21,6,0,1,384.38,220.6,0
2026-03-01 22:26:49.464947,2026-03-01,22,6,0,1,340.45,217.8,0
2026-03-01 23:26:49.464947,2026-03-01,23,6,0,1,420.29,236.4,0
2026-03-02 00:26:49.464947,2026-03-02,0,0,0,0,228.81,222.4,1
2026-03-02 01:26:49.464947,2026-03-02,1,0,0,0,215.07,225.4,0
2026-03-02 02:26:49.464947,2026-03-02,2,0,0,0,251.35,220.1,0
2026-03-02 03:26:49.464947,2026-03-02,3,0,0,0,228.5,213.7,0
2026-03-02 04:26:49.464947,2026-03-02,4,0,0,0,219.62,217.5,1
2026-03-02 05:26:49.464947,2026-03-02,5,0,0,0,494.05,236.0,0
2026-03-02 06:26:49.464947,2026-03-02,6,0,0,0,468.64,210.1,0
2026-03-02 07:26:49.464947,2026-03-02,7,0,0,0,577.6,218.7,0
2026-03-02 08:26:49.464947,2026-03-02,8,0,0,0,589.47,205.8,0
2026-03-02 09:26:49.464947,2026-03-02,9,0,0,0,558.0,224.7,1
2026-03-02 10:26:49.464947,2026-03-02,10,0,0,0,465.27,208.4,0
2026-03-02 11:26:49.464947,2026-03-02,11,0,0,0,425.24,199.9,1
2026-03-02 12:26:49.464947,2026-03-02,12,0,0,0,454.53,227.9,0
2026-03-02 13:26:49.464947,2026-03-02,13,0,0,0,437.76,223.1,1
2026-03-02 14:26:49.464947,2026-03-02,14,0,0,0,605.79,229.0,0
2026-03-02 15:26:49.464947,2026-03-02,15,0,0,0,650.35,223.2,0
2026-03-02 16:26:49.464947,2026-03-02,16,0,0,0,656.87,205.6,0
2026-03-02 17:26:49.464947,2026-03-02,17,0,0,0,610.41,211.4,1
2026-03-02 18:26:49.464947,2026-03-02,18,0,0,0,664.8,212.6,0
2026-03-02 19:26:49.464947,2026-03-02,19,0,0,0,472.33,212.4,1
2026-03-02 20:26:49.464947,2026-03-02,20,0,0,0,467.4,218.1,0
2026-03-02 21:26:49.464947,2026-03-02,21,0,0,0,463.84,225.6,1
2026-03-02 22:26:49.464947,2026-03-02,22,0,0,0,463.42,212.8,0
2026-03-02 23:26:49.464947,2026-03-02,23,0,0,0,466.31,218.2,1
2026-03-03 00:26:49.464947,2026-03-03,0,1,0,0,227.8,216.8,0
2026-03-03 01:26:49.464947,2026-03-03,1,1,0,0,207.52,232.6,0
2026-03-03 02:26:49.464947,2026-03-03,2,1,0,0,175.07,211.6,0
2026-03-03 03:26:49.464947,2026-03-03,3,1,0,0,211.08,223.7,0
2026-03-03 04:26:49.464947,2026-03-03,4,1,0,0,201.26,220.6,0
2026-03-03 05:26:49.464947,2026-03-03,5,1,0,0,490.04,217.7,0
2026-03-03 06:26:49.464947,2026-03-03,6,1,0,0,453.71,233.0,0
2026-03-03 07:26:49.464947,2026-03-03,7,1,0,0,584.47,226.4,0
2026-03-03 08:26:49.464947,2026-03-03,8,1,0,0,584.36,219.4,0
2026-03-03 09:26:49.464947,2026-03-03,9,1,0,0,618.36,231.6,0
2026-03-03 10:26:49.464947,2026-03-03,10,1,0,0,422.29,215.8,0
2026-03-03 11:26:49.464947,2026-03-03,11,1,0,0,475.68,217.9,0
2026-03-03 12:26:49.464947,2026-03-03,12,1,0,0,444.89,218.4,0
2026-03-03 13:26:49.464947,2026-03-03,13,1,0,0,442.66,221.1,0
2026-03-03 14:26:49.464947,2026-03-03,14,1,0,0,634.29,214.3,0
2026-03-03 15:26:49.464947,2026-03-03,15,1,0,0,640.85,213.9,0
2026-03-03 16:26:49.464947,2026-03-03,16,1,0,0,631.5,215.8,0
2026-03-03 17:26:49.464947,2026-03-03,17,1,0,0,601.73,217.9,0
2026-03-03 18:26:49.464947,2026-03-03,18,1,0,0,649.0,224.0,0
2026-03-03 19:26:49.464947,2026-03-03,19,1,0,0,435.19,214.2,0
2026-03-03 20:26:49.464947,2026-03-03,20,1,0,0,455.45,226.1,0
2026-03-03 21:26:49.464947,2026-03-03,21,1,0,0,420.05,200.8,0
2026-03-03 22:26:49.464947,2026-03-03,22,1,0,0,439.5,207.8,0
2026-03-03 23:26:49.464947,2026-03-03,23,1,0,0,445.32,235.1,0
2026-03-04 00:26:49.464947,2026-03-04,0,2,0,0,257.68,215.0,0
2026-03-04 01:26:49.464947,2026-03-04,1,2,0,0,240.42,223.8,0
2026-03-04 02:26:49.464947,2026-03-04,2,2,0,0,213.92,231.2,0
2026-03-04 03:26:49.464947,2026-03-04,3,2,0,0,209.92,241.8,0
2026-03-04 04:26:49.464947,2026-03-04,4,2,0,0,237.64,208.4,0
2026-03-04 05:26:49.464947,2026-03-04,5,2,0,0,439.7,226.1,0
2026-03-04 06:26:49.464947,2026-03-04,6,2,0,0,455.57,233.9,0
2026-03-04 07:26:49.464947,2026-03-04,7,2,0,0,569.98,221.0,1
2026-03-04 08:26:49.464947,2026-03-04,8,2,0,0,640.85,214.2,0
2026-03-04 09:26:49.464947,2026-03-04,9,2,0,0,583.83,222.8,0
2026-03-04 10:26:49.464947,2026-03-04,10,2,0,0,455.05,234.3,0
2026-03-04 11:26:49.464947,2026-03-04,11,2,0,0,495.81,211.7,0
2026-03-04 12:26:49.464947,2026-03-04,12,2,0,0,453.73,222.3,0
2026-03-04 13:26:49.464947,2026-03-04,13,2,0,0,459.68,214.7,0
2026-03-04 14:26:49.464947,2026-03-04,14,2,0,0,659.98,218.2,0
2026-03-04 15:26:49.464947,2026-03-04,15,2,0,0,631.56,211.5,0
2026-03-04 16:26:49.464947,2026-03-04,16,2,0,0,626.58,223.5,0
2026-03-04 17:26:49.464947,2026-03-04,17,2,0,0,627.15,208.9,0
2026-03-04 18:26:49.464947,2026-03-04,18,2,0,0,592.75,211.7,0
2026-03-04 19:26:49.464947,2026-03-04,19,2,0,0,481.02,216.3,0
2026-03-04 20:26:49.464947,2026-03-04,20,2,0,0,445.25,226.5,0
2026-03-04 21:26:49.464947,2026-03-04,21,2,0,0,427.03,215.7,0
2026-03-04 22:26:49.464947,2026-03-04,22,2,0,0,433.82,216.9,0
2026-03-04 23:26:49.464947,2026-03-04,23,2,0,0,432.11,229.5,0
2026-03-05 00:26:49.464947,2026-03-05,0,3,0,0,227.15,230.1,0
2026-03-05 01:26:49.464947,2026-03-05,1,3,0,0,190.47,223.2,0
2026-03-05 02:26:49.464947,2026-03-05,2,3,0,0,200.47,225.2,0
2026-03-05 03:26:49.464947,2026-03-05,3,3,0,0,210.12,216.9,0
2026-03-05 04:26:49.464947,2026-03-05,4,3,0,0,213.93,215.8,0
2026-03-05 05:26:49.464947,2026-03-05,5,3,0,0,430.76,214.2,0
2026-03-05 06:26:49.464947,2026-03-05,6,3,0,0,430.04,218.4,0
2026-03-05 07:26:49.464947,2026-03-05,7,3,0,0,580.84,231.1,0
2026-03-05 08:26:49.464947,2026-03-05,8,3,0,0,582.95,226.0,0
2026-03-05 09:26:49.464947,2026-03-05,9,3,0,0,632.36,213.0,0
2026-03-05 10:26:49.464947,2026-03-05,10,3,0,0,460.31,225.5,1
2026-03-05 11:26:49.464947,2026-03-05,11,3,0,0,486.16,236.2,0
2026-03-05 12:26:49.464947,2026-03-05,12,3,0,0,468.98,224.8,0
2026-03-05 13:26:49.464947,2026-03-05,13,3,0,0,445.05,209.9,0
2026-03-05 14:26:49.464947,2026-03-05,14,3,0,0,623.3,228.8,0
2026-03-05 15:26:49.464947,2026-03-05,15,3,0,0,609.61,223.8,1
2026-03-05 16:26:49.464947,2026-03-05,16,3,0,0,650.99,202.3,0
2026-03-05 17:26:49.464947,2026-03-05,17,3,0,0,622.82,204.5,0
2026-03-05 18:26:49.464947,2026-03-05,18,3,0,0,671.72,202.0,0
2026-03-05 19:26:49.464947,2026-03-05,19,3,0,0,426.7,219.8,0
2026-03-05 20:26:49.464947,2026-03-05,20,3,0,0,489.83,228.3,0
2026-03-05 21:26:49.464947,2026-03-05,21,3,0,0,453.16,220.1,0
2026-03-05 22:26:49.464947,2026-03-05,22,3,0,0,444.09,214.6,0
2026-03-05 23:26:49.464947,2026-03-05,23,3,0,0,475.34,233.4,0
2026-03-06 00:26:49.464947,2026-03-06,0,4,0,1,188.75,204.8,0
2026-03-06 01:26:49.464947,2026-03-06,1,4,0,1,195.39,222.3,0
2026-03-06 02:26:49.464947,2026-03-06,2,4,0,1,205.66,216.5,0
2026-03-06 03:26:49.464947,2026-03-06,3,4,0,1,167.52,221.5,0
2026-03-06 04:26:49.464947,2026-03-06,4,4,0,1,195.82,228.1,0
2026-03-06 05:26:49.464947,2026-03-06,5,4,0,1,385.21,225.3,0
2026-03-06 06:26:49.464947,2026-03-06,6,4,0,1,387.64,229.5,0
2026-03-06 07:26:49.464947,2026-03-06,7,4,0,1,503.37,222.1,0
2026-03-06 08:26:49.464947,2026-03-06,8,4,0,1,495.27,211.4,0
2026-03-06 09:26:49.464947,2026-03-06,9,4,0,1,477.44,232.2,0
2026-03-06 10:26:49.464947,2026-03-06,10,4,0,1,405.58,214.7,0
2026-03-06 11:26:49.464947,2026-03-06,11,4,0,1,366.76,221.1,0
2026-03-06 12:26:49.464947,2026-03-06,12,4,0,1,405.53,210.9,0
2026-03-06 13:26:49.464947,2026-03-06,13,4,0,1,394.0,230.5,0
2026-03-06 14:26:49.464947,2026-03-06,14,4,0,1,532.95,219.7,0
2026-03-06 15:26:49.464947,2026-03-06,15,4,0,1,510.76,224.9,0
2026-03-06 16:26:49.464947,2026-03-06,16,4,0,1,567.9,219.9,0
2026-03-06 17:26:49.464947,2026-03-06,17,4,0,1,559.01,215.8,0
2026-03-06 18:26:49.464947,2026-03-06,18,4,0,1,530.64,220.6,0
2026-03-06 19:26:49.464947,2026-03-06,19,4,0,1,363.54,222.2,0
2026-03-06 20:26:49.464947,2026-03-06,20,4,0,1,414.08,224.3,0
2026-03-06 21:26:49.464947,2026-03-06,21,4,0,1,349.0,218.3,1
2026-03-06 22:26:49.464947,2026-03-06,22,4,0,1,390.26,220.8,0
2026-03-06 23:26:49.464947,2026-03-06,23,4,0,1,375.1,223.8,0
2026-03-07 00:26:49.464947,2026-03-07,0,5,0,1,149.48,215.4,0
2026-03-07 01:26:49.464947,2026-03-07,1,5,0,1,203.52,221.4,1
2026-03-07 02:26:49.464947,2026-03-07,2,5,0,1,184.68,236.3,0
2026-03-07 03:26:49.464947,2026-03-07,3,5,0,1,170.22,213.7,0
2026-03-07 04:26:49.464947,2026-03-07,4,5,0,1,223.17,222.2,0
2026-03-07 05:26:49.464947,2026-03-07,5,5,0,1,379.27,205.3,0
2026-03-07 06:26:49.464947,2026-03-07,6,5,0,1,389.87,230.6,0
2026-03-07 07:26:49.464947,2026-03-07,7,5,0,1,470.2,230.2,0
2026-03-07 08:26:49.464947,2026-03-07,8,5,0,1,449.24,229.1,0
2026-03-07 09:26:49.464947,2026-03-07,9,5,0,1,504.49,238.5,0
2026-03-07 10:26:49.464947,2026-03-07,10,5,0,1,383.45,203.6,0
2026-03-07 11:26:49.464947,2026-03-07,11,5,0,1,377.48,229.6,0
2026-03-07 12:26:49.464947,2026-03-07,12,5,0,1,386.99,215.9,1
2026-03-07 13:26:49.464947,2026-03-07,13,5,0,1,355.75,210.3,1
2026-03-07 14:26:49.464947,2026-03-07,14,5,0,1,548.49,218.7,0
2026-03-07 15:26:49.464947,2026-03-07,15,5,0,1,496.34,216.7,0
2026-03-07 16:26:49.464947,2026-03-07,16,5,0,1,526.88,223.6,0
2026-03-07 17:26:49.464947,2026-03-07,17,5,0,1,560.51,225.9,0
2026-03-07 18:26:49.464947,2026-03-07,18,5,0,1,540.87,223.1,0
2026-03-07 19:26:49.464947,2026-03-07,19,5,0,1,360.64,204.5,0
2026-03-07 20:26:49.464947,2026-03-07,20,5,0,1,395.92,209.3,0
2026-03-07 21:26:49.464947,2026-03-07,21,5,0,1,370.1,203.7,0
2026-03-07 22:26:49.464947,2026-03-07,22,5,0,1,380.52,226.8,0
2026-03-07 23:26:49.464947,2026-03-07,23,5,0,1,358.82,224.2,0
2026-03-08 00:26:49.464947,2026-03-08,0,6,0,1,150.38,216.0,0
2026-03-08 01:26:49.464947,2026-03-08,1,6,0,1,194.14,207.6,0
2026-03-08 02:26:49.464947,2026-03-08,2,6,0,1,207.22,232.7,0
2026-03-08 03:26:49.464947,2026-03-08,3,6,0,1,183.35,208.5,0
2026-03-08 04:26:49.464947,2026-03-08,4,6,0,1,185.49,213.5,0
2026-03-08 05:26:49.464947,2026-03-08,5,6,0,1,348.79,214.6,0
2026-03-08 06:26:49.464947,2026-03-08,6,6,0,1,367.1,217.5,0
2026-03-08 07:26:49.464947,2026-03-08,7,6,0,1,516.78,207.1,0
2026-03-08 08:26:49.464947,2026-03-08,8,6,0,1,512.49,216.8,0
2026-03-08 09:26:49.464947,2026-03-08,9,6,0,1,520.3,219.5,0
2026-03-08 10:26:49.464947,2026-03-08,10,6,0,1,383.49,210.1,0
2026-03-08 11:26:49.464947,2026-03-08,11,6,0,1,358.04,213.5,0
2026-03-08 12:26:49.464947,2026-03-08,12,6,0,1,385.83,225.9,0
2026-03-08 13:26:49.464947,2026-03-08,13,6,0,1,376.05,226.3,0
2026-03-08 14:26:49.464947,2026-03-08,14,6,0,1,554.05,224.5,0
2026-03-08 15:26:49.464947,2026-03-08,15,6,0,1,521.65,215.9,0
2026-03-08 16:26:49.464947,2026-03-08,16,6,0,1,564.44,225.9,0
2026-03-08 17:26:49.464947,2026-03-08,17,6,0,1,548.47,240.5,0
2026-03-08 18:26:49.464947,2026-03-08,18,6,0,1,511.52,234.4,0
2026-03-08 19:26:49.464947,2026-03-08,19,6,0,1,377.07,220.5,1
2026-03-08 20:26:49.464947,2026-03-08,20,6,0,1,392.45,237.8,0
2026-03-08 21:26:49.464947,2026-03-08,21,6,0,1,335.06,215.6,0
2026-03-08 22:26:49.464947,2026-03-08,22,6,0,1,394.49,219.4,0
2026-03-08 23:26:49.464947,2026-03-08,23,6,0,1,388.15,223.2,0
2026-03-09 00:26:49.464947,2026-03-09,0,0,0,0,244.57,223.6,0
2026-03-09 01:26:49.464947,2026-03-09,1,0,0,0,247.08,214.0,0
2026-03-09 02:26:49.464947,2026-03-09,2,0,0,0,209.48,226.2,0
2026-03-09 03:26:49.464947,2026-03-09,3,0,0,0,207.1,220.5,0
2026-03-09 04:26:49.464947,2026-03-09,4,0,0,0,228.4,225.8,0
2026-03-09 05:26:49.464947,2026-03-09,5,0,0,0,463.46,203.0,0
2026-03-09 06:26:49.464947,2026-03-09,6,0,0,0,433.39,209.2,0
2026-03-09 07:26:49.464947,2026-03-09,7,0,0,0,600.0,212.7,0
2026-03-09 08:26:49.464947,2026-03-09,8,0,0,0,538.25,207.2,1
2026-03-09 09:26:49.464947,2026-03-09,9,0,0,0,582.38,221.7,0
2026-03-09 10:26:49.464947,2026-03-09,10,0,0,0,442.3,224.7,0
2026-03-09 11:26:49.464947,2026-03-09,11,0,0,0,445.03,212.9,0
2026-03-09 12:26:49.464947,2026-03-09,12,0,0,0,451.25,220.0,0
2026-03-09 13:26:49.464947,2026-03-09,13,0,0,0,476.04,226.7,1
2026-03-09 14:26:49.464947,2026-03-09,14,0,0,0,609.19,214.6,0
2026-03-09 15:26:49.464947,2026-03-09,15,0,0,0,638.91,213.4,0
2026-03-09 16:26:49.464947,2026-03-09,16,0,0,0,639.02,214.3,0
2026-03-09 17:26:49.464947,2026-03-09,17,0,0,0,646.91,201.9,0
2026-03-09 18:26:49.464947,2026-03-09,18,0,0,0,603.14,222.3,0
2026-03-09 19:26:49.464947,2026-03-09,19,0,0,0,421.24,222.0,0
2026-03-09 20:26:49.464947,2026-03-09,20,0,0,0,461.19,214.4,0
2026-03-09 21:26:49.464947,2026-03-09,21,0,0,0,420.98,211.3,0
2026-03-09 22:26:49.464947,2026-03-09,22,0,0,0,458.3,229.1,0
2026-03-09 23:26:49.464947,2026-03-09,23,0,0,0,439.2,221.7,0
2026-03-10 00:26:49.464947,2026-03-10,0,1,0,0,169.57,209.4,0
2026-03-10 01:26:49.464947,2026-03-10,1,1,0,0,225.22,218.5,1
2026-03-10 02:26:49.464947,2026-03-10,2,1,0,0,228.4,233.1,0
2026-03-10 03:26:49.464947,2026-03-10,3,1,0,0,238.4,219.5,0
2026-03-10 04:26:49.464947,2026-03-10,4,1,0,0,242.99,223.8,0
2026-03-10 05:26:49.464947,2026-03-10,5,1,0,0,456.88,233.1,0
2026-03-10 06:26:49.464947,2026-03-10,6,1,0,0,461.68,227.1,0
2026-03-10 07:26:49.464947,2026-03-10,7,1,0,0,598.49,219.3,0
2026-03-10 08:26:49.464947,2026-03-10,8,1,0,0,578.98,220.9,0
2026-03-10 09:26:49.464947,2026-03-10,9,1,0,0,562.75,223.3,0
2026-03-10 10:26:49.464947,2026-03-10,10,1,0,0,415.03,207.3,0
2026-03-10 11:26:49.464947,2026-03-10,11,1,0,0,422.97,221.4,0
2026-03-10 12:26:49.464947,2026-03-10,12,1,0,0,438.4,227.6,0
2026-03-10 13:26:49.464947,2026-03-10,13,1,0,0,485.98,219.5,0
2026-03-10 14:26:49.464947,2026-03-10,14,1,0,0,656.59,229.0,0
2026-03-10 15:26:49.464947,2026-03-10,15,1,0,0,594.51,236.4,0
2026-03-10 16:26:49.464947,2026-03-10,16,1,0,0,636.16,234.0,0
2026-03-10 17:26:49.464947,2026-03-10,17,1,0,0,650.65,224.6,0
2026-03-10 18:26:49.464947,2026-03-10,18,1,0,0,630.81,215.9,0
2026-03-10 19:26:49.464947,2026-03-10,19,1,0,0,441.49,215.1,1
2026-03-10 20:26:49.464947,2026-03-10,20,1,0,0,459.51,235.9,0
2026-03-10 21:26:49.464947,2026-03-10,21,1,0,0,471.77,224.1,0
2026-03-10 22:26:49.464947,2026-03-10,22,1,0,0,434.43,207.6,0
2026-03-10 23:26:49.464947,2026-03-10,23,1,0,0,441.46,214.1,0
2026-03-11 00:26:49.464947,2026-03-11,0,2,0,0,212.54,232.0,0
2026-03-11 01:26:49.464947,2026-03-11,1,2,0,0,238.21,233.6,0
2026-03-11 02:26:49.464947,2026-03-11,2,2,0,0,239.55,229.6,0
